Date,Count,Average_lof,Ranking_Factor
2017-06-12,213,144.3640677,0.677765576
2017-06-19,248,158.3752575,0.638609909
2017-06-20,215,152.7356584,0.7103984109999999
2017-06-22,216,157.32162759999997,0.7283408690000001
2017-06-29,208,146.21908530000002,0.7029763720000001
2017-07-11,224,144.2888826,0.644146797
2017-07-13,225,139.995591,0.622202626
2017-07-17,224,145.4751281,0.649442536
2017-07-20,230,140.2227441,0.609664105
2017-07-27,229,143.7266999,0.62762751
2017-07-31,219,144.304975,0.658926827
2017-08-03,225,143.2404605,0.636624269
2017-08-08,226,136.20940430000002,0.602696479
2017-08-09,215,139.2142829,0.647508292
2017-08-10,211,136.4449157,0.646658368
2017-08-14,215,131.8550509,0.613279307
2017-08-24,217,136.0732245,0.62706555
2017-09-11,218,132.6678761,0.608568239
2017-09-13,226,136.33525419999998,0.6032533370000001
2017-09-14,227,135.8237638,0.5983425720000001
2017-09-18,230,139.829261,0.607953309
2017-09-21,232,140.1895188,0.604265167
2017-09-26,211,131.9051271,0.6251427820000001
2017-10-02,214,137.20057859999997,0.641124199
2017-10-03,217,139.8640348,0.6445347220000001
2017-10-12,231,146.9589385,0.6361858810000001
2017-10-18,211,135.76176569999998,0.643420691
2017-10-30,230,141.2439686,0.614104211
2017-10-31,221,137.7875994,0.623473301
2017-11-08,226,139.65106540000002,0.617925068
2017-11-09,211,131.2165878,0.621879563
2017-11-15,219,136.9610514,0.625392929
2017-11-16,221,138.7398835,0.627782278
2017-11-20,233,141.85889509999998,0.6088364589999999
2017-11-21,223,140.0996519,0.62824956
2017-12-04,222,150.9134341,0.6797902440000001
2017-12-05,228,152.01138469999998,0.666716599
2017-12-06,216,136.97943869999997,0.634164068
2017-12-20,212,141.40564809999998,0.667007774
2017-12-21,237,144.2229783,0.608535773
2017-12-26,235,153.4471736,0.652966696
